entry_date,exit_date,entry_price,exit_price,shares,return_pct,exit_reason,window,strategy,params
2014-05-23,2014-08-06,27.332134961128233,27.98034944534302,3655.04195124815,0.021670816822783236,signal_exit,1,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2014-08-20,2014-08-28,28.90421730136871,28.119958560943605,3531.1461853969527,-0.029076811354231253,signal_exit,1,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2014-09-04,2014-10-01,28.780087961196894,28.07401444244385,3443.258810180475,-0.02648238798743719,signal_exit,1,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2015-01-22,2015-04-02,26.426668416023254,26.456573674201966,3780.2759821032755,-0.0008686312069784617,signal_exit,2,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2015-04-27,2015-05-04,27.539575055122373,26.789285347938538,3624.359611793687,-0.029187623673392515,signal_exit,2,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2015-06-24,2015-06-26,26.67030327987671,26.33898342037201,3633.25489078048,-0.014395981814486288,signal_exit,2,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2015-07-14,2015-09-01,27.82371172714233,29.613464592933656,3432.505338879905,0.06219821141543371,signal_exit,2,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2015-09-16,2015-09-28,31.536848190307616,29.46980057525635,3216.7222624413857,-0.06741093221023645,signal_exit,2,ema_cross,"{'fast_window': 15, 'slow_window': 20}"
2016-03-17,2016-04-28,36.58488409996033,34.231910364151005,2730.638687473886,-0.0661849619229749,signal_exit,3,ema_cross,"{'fast_window': 15, 'slow_window': 60}"
2016-06-02,2016-06-06,36.2189251499176,35.49662803077698,2575.6759817131856,-0.02190069002835257,signal_exit,3,ema_cross,"{'fast_window': 15, 'slow_window': 60}"
2016-06-09,2016-06-13,36.12867771720886,35.586289598464965,2525.559889385807,-0.01698068225095578,signal_exit,3,ema_cross,"{'fast_window': 15, 'slow_window': 60}"
2016-07-19,2016-11-14,36.544221994400026,36.46410440826416,2454.443676362616,-0.004185967883578682,signal_exit,3,ema_cross,"{'fast_window': 15, 'slow_window': 60}"
2017-07-12,2017-08-04,46.80245371055603,45.96949642944336,2134.505607717059,-0.019759742353364272,signal_exit,4,ema_cross,"{'fast_window': 10, 'slow_window': 50}"
2017-09-12,2017-09-15,46.21929942512512,45.58954810142517,2118.7274771145776,-0.015596067895022027,signal_exit,4,ema_cross,"{'fast_window': 10, 'slow_window': 50}"
2018-03-09,2018-03-23,57.523830396652215,50.606771663665775,1736.6732919425672,-0.1220045868901546,signal_exit,5,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2018-05-11,2018-09-10,54.460287672042845,57.694214328765874,1610.5649314542616,0.05726472691443312,signal_exit,5,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2019-01-08,2019-01-11,53.37035317611694,52.37133083724976,1871.8275963143687,-0.020679277854430984,signal_exit,6,ema_cross,"{'fast_window': 20, 'slow_window': 60}"
2019-01-17,2019-05-21,54.045743345260625,56.95064403915406,1810.211719202112,0.05164353417225146,signal_exit,6,ema_cross,"{'fast_window': 20, 'slow_window': 60}"
2020-01-08,2020-03-02,69.63714950180054,68.81404835891723,1434.58054522345,-0.013794242812454468,signal_exit,7,ema_cross,"{'fast_window': 20, 'slow_window': 50}"
2020-05-05,2020-09-23,66.99857043457031,70.10700354766846,1470.5097888813086,0.044304813680089074,signal_exit,7,ema_cross,"{'fast_window': 20, 'slow_window': 50}"
2021-10-11,2021-10-12,137.7028349533081,135.45041413116456,725.4759855450599,-0.018322433383911995,signal_exit,8,ema_cross,"{'fast_window': 5, 'slow_window': 50}"
2021-10-14,2021-12-01,140.24620500183104,140.31011990356447,699.2680263494744,-0.0015431789984687951,signal_exit,8,ema_cross,"{'fast_window': 5, 'slow_window': 50}"
2021-12-07,2021-12-20,146.81607765197754,141.0863886795044,666.945674202117,-0.04094633200320139,signal_exit,8,ema_cross,"{'fast_window': 5, 'slow_window': 50}"
2022-03-24,2022-04-12,140.14700381469726,127.18892956924438,712.8236578798937,-0.0942738526064044,signal_exit,9,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2022-08-03,2022-08-30,117.80076853179929,108.8949652824402,768.0945866013425,-0.0774475049804365,signal_exit,9,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2022-12-02,2022-12-08,99.99876589965818,93.08235704803467,834.7554736306615,-0.0710247523865541,signal_exit,9,ema_cross,"{'fast_window': 20, 'slow_window': 30}"
2023-01-11,2023-02-24,91.49942405319213,88.52482250213623,1091.811242899454,-0.034442559129726,signal_exit,10,ema_cross,"{'fast_window': 10, 'slow_window': 60}"
2023-03-15,2023-10-27,95.75404511260986,122.26036481094363,1007.3651164166062,0.2742656272565826,signal_exit,10,ema_cross,"{'fast_window': 10, 'slow_window': 60}"
2024-01-08,2024-03-04,139.37146975708006,132.96060131073,716.7901728683966,-0.047904524541941065,signal_exit,11,ema_cross,"{'fast_window': 20, 'slow_window': 60}"
2024-03-20,2024-08-06,148.44604261779784,159.2383646697998,640.7340433963817,0.07055872488430576,signal_exit,11,ema_cross,"{'fast_window': 20, 'slow_window': 60}"
2025-01-24,2025-01-27,200.95499576568602,192.6702945175171,497.12672989022707,-0.04314228092980266,signal_exit,12,ema_cross,"{'fast_window': 15, 'slow_window': 50}"
2025-01-30,2025-02-07,201.68158568572994,186.0779044952393,473.96583778475303,-0.0792113229432353,signal_exit,12,ema_cross,"{'fast_window': 15, 'slow_window': 50}"
2026-01-07,2026-02-13,322.170220916748,305.46782566833497,310.08483532658687,-0.05373780520483764,signal_exit,13,ema_cross,"{'fast_window': 15, 'slow_window': 50}"
